name,description,price,barcode,available_items,category,brand
Acetaminophen,"Division of Right Toe Phalanx, Perc Endo Approach",38,372414184-X,4,family wellness acetaminophen,Family Dollar Services Inc
Budesonide,"Drainage of Left Lacrimal Duct with Drain Dev, Via Opening",610,110540185-5,8,Budesonide,"Preferred Pharmaceuticals, Inc."
CARBOplatin,"Revision of Monitoring Device in Low Art, Perc Endo Approach",281,488654589-0,1,CARBOplatin,"Teva Parenteral Medicines, Inc."
Ondansetron,"Drainage of Left Tibia, Percutaneous Approach",858,968205244-0,5,Ondansetron,Aidarex Pharmaceuticals LLC
ipilimumab,"Occlusion of Cisterna Chyli with Extralum Dev, Perc Approach",882,841724813-7,10,YERVOY,"E.R. Squibb & Sons, L.L.C."
Hydrocodone Bitartrate And Acetaminophen,"Revision of Other Device in L Low Extrem, Extern Approach",695,515088189-9,9,Hydrocodone Bitartrate And Acetaminophen,REMEDYREPACK INC.
"Titanium Dioxide, .ALPHA.-TOCOPHEROL ACETATE, PANTHENOL, TOCOPHEROL, CALCIUM ASCORBATE, and CALCIUM THREONATE","Excision of Left Hip Joint, Open Approach, Diagnostic",904,915805574-6,4,Soin Solaire Complete SPF30,ELEMIS LIMITED
"Titanium Dioxide, OCTINOXATE, Zinc Oxide","Reposition Right Lower Femur, Percutaneous Approach",593,263454901-6,2,Belucie Luxury Essential Twin Pact NO21,"KIMJEONGMOON ALOE CO., LTD."
"OCTINOXATE, AVOBENZONE, OXYBENZONE","Remove Infusion Dev from Head & Neck Subcu/Fascia, Open",188,697713493-3,4,DAILY DEFLECTOR MOISTURIZER,"KATE SOMERVILLE SKINCARE, LLC"
Carvedilol,"Revision of Synth Sub in R Ankle Jt, Open Approach",106,777565936-X,6,Carvedilol,State of Florida DOH Central Pharmacy
ALCOHOL,"Bypass Duodenum to Duoden with Autol Sub, Perc Endo Approach",351,610376831-4,2,3 HAND SANITIZERS KIT,"Greenbrier International, Inc."
"Strychnos nux-vomica seed, Silver nitrate, Datura stramonium, Strychnos ignatii seed, Phosphoric acid, Matricaria recutita, Coffee bean","Revision of Ext Fix in R Knee Jt, Perc Approach",575,498656635-0,7,Lab1796 Stress Absorber,HomeopathyStore.com
citalopram hydrobromide,"Replace R Humeral Shaft w Autol Sub, Perc Endo",350,054530495-4,8,citalopram hydrobromide,State of Florida DOH Central Pharmacy
promethazine hydrochloride,"Bypass Descending Colon to Cutaneous, Open Approach",210,849793518-7,2,Promethegan,Rebel Distributors Corp
"Ethylhexyl methoxycinnamate, Zinc Oxide, Titanium Dioxide, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine","Bypass Abd Aorta to Abd Aorta w Synth Sub, Perc Endo",468,944679138-3,1,UV Capture Water Zero Sunspray,"Carver Korea Co.,Ltd"
Alprazolam,"Extraction of Lower Vein, Percutaneous Approach",704,217965777-3,4,Alprazolam,Apotex Corp
Molds - Alternaria/Hormodendrum Mix,"Bypass Sup Mesent Vein to Low Vein w Synth Sub, Open",23,960064660-0,5,Molds - Alternaria/Hormodendrum Mix,Jubilant HollisterStier LLC
PENICILLIN G POTASSIUM,"Bypass R Ext Iliac Art to R Ext Ilia w Autol Art, Open",744,759807709-6,8,Penicillin G Potassium,"APP Pharmaceuticals, LLC"
perphenazine,"Reposition Left Scapula, External Approach",779,062023415-6,8,Perphenazine,Qualitest Pharmaceuticals
BENZALKONIUM CHLORIDE,"Restriction of Bladder with Extralum Dev, Open Approach",144,169731585-2,6,FOAMING HAND SANITIZER,HY-VEE INC
Psyllium,"Replace of L Acetabulum with Synth Sub, Perc Endo Approach",827,597934675-9,5,Reguloid,Rugby Laboratories
Loratadine and Pseudoephedrine Sulfate,"Inspection of Stomach, Endo",654,704617164-5,10,Loratadine and Pseudoephedrine Sulfate,Health Mart
tolterodine tartrate,"Dilate of Thor Aorta Asc with Drug-elut Intra, Perc Approach",91,574905729-1,10,Detrol,Pharmacia and Upjohn Company
amlodipine and valsartan,"Insertion of Radioact Elem into L Low Extrem, Perc Approach",921,175416043-3,7,Amlodipine and Valsartan,"Par Pharmaceutical, Inc."
Hydrocortisone,"Occlusion Sup Vena Cava w Intralum Dev, Perc Endo",930,631787146-9,10,Cortisone Maximum Strength with Aloe,CVS Pharmacy
ISodium Chloride,"Revision of Drainage Device in Thor Jt, Perc Endo Approach",770,457301118-8,8,Sodium Chloride,Nephron Pharmaceuticals Corporation
"Lansoprazole, Amoxicillin and Clarithromycin","Removal of Synth Sub from R Tarsal, Perc Endo Approach",618,870057785-5,4,"Lansoprazole, Amoxicillin and Clarithromycin",Sandoz Inc
GEMCITABINE HYDROCHLORIDE,"Supplement L Up Leg Subcu/Fascia w Synth Sub, Open",108,395217866-7,8,Gemcitabine,"Hospira, Inc."
Terbinafine Hydrochloride,"Drain Int Mamm, L Lymph w Drain Dev, Perc Endo",470,366172883-0,10,Terbinafine Hydrochloride,"Breckenridge Pharmaceutical, Inc."
BENZALKONIUM CHLORIDE,"Monitoring of Urinary Volume, Via Opening",829,588054182-7,7,Paisley Peach Antibacterial Hand Moisturizer,"SJ Creations, Inc."
AIR,"Reposition L Humeral Shaft w Hybrid Ext Fix, Perc Endo",972,214029531-5,10,AIR,"Medical-Technical Gases, Inc."
SODIUM MONOFLUOROPHOSPHATE,"Excision of Esophagus, Endo",638,027021872-6,5,Colgate Optic White,Mission Hills S.A de C.V
"Artemisia Vulgaris, Cina, Filiz Mas, Sabadilla, Spigelia Anthelmia, Baryta Carbonica, Calcarea Carbonica","Replacement of Pulmonary Trunk with Autol Sub, Open Approach",54,156644887-5,8,Parastat,"Energique, Inc."
Bupropion Hydrochloride,"Dilation of R Int Carotid with Intralum Dev, Perc Approach",67,545106996-4,2,Bupropion Hydrochloride,"Preferred Pharmaceuticals, Inc"
"OCTINOXATE, TITANIUM DIOXIDE","Occlusion of L Innom Vein with Extralum Dev, Open Approach",787,785070207-7,10,CD DIORSKIN STAR Studio Makeup Spectacular Brightening with sunscreen Broad Spectrum SPF30 080,Parfums Christian Dior
Ceftriaxone Sodium,"Transfer Femoral Nerve to Femoral Nerve, Open Approach",132,265509787-4,3,Ceftriaxone Sodium,Sandoz Inc
"Avobenzone, Homosalate, Octisalate, Octocrylene and Oxybenzone",MRI of Spinal Cord using Oth Contrast,217,083660384-2,5,Kiehls Since 1851 Facial Fuel UV Guard Broad Spectrum SPF 50 Plus Sunscreen WR80,L'Oreal USA Products Inc
Queen Palm,"Removal of Drainage Device from Upper Jaw, External Approach",940,217190768-1,4,Queen Palm,"Nelco Laboratories, Inc."
PRAVASTATIN SODIUM,"Drainage of Left Upper Arm Muscle, Perc Endo Approach, Diagn",94,520594299-1,9,PRAVASTATIN SODIUM,Apotex Corp.
"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE","Extirpate of Matter from Sacral Symp Nrv, Perc Endo Approach",40,170175520-3,1,IOPE AIR CUSHION XP,AMOREPACIFIC
Octinoxate and Titanium dioxide,"Insertion of Ext Fix into R Femur Shaft, Perc Endo Approach",449,244697846-0,6,SHISEIDO SHEER MATIFYING COMPACT (REFILL),"SHISEIDO CO., LTD."
lidocaine hydrochloride anhydrous and epinephrine,"Reposition Sacral Nerve, Open Approach",623,609861112-2,7,Lidocaine Hydrochloride and Epinephrine,Cardinal Health
Aspirin,"Dilation of Common Bile Duct with Intralum Dev, Via Opening",146,396382305-4,6,Micro-Coated Aspirin,"Rugby Laboratories, Inc"
Salicylic Acid,Contact Radiation of Neck Skin,136,876255767-X,5,Vichy Laboratoires Normaderm Triple Action Antiacne Hydrating,L'Oreal USA Products Inc
APIUM GRAVEOLENS,"Anatomical Regions, Upper Extremities, Alteration",1000,411850976-8,1,APIUM GRAVEOLENS,HOMEOLAB USA INC.
OCTINOXATE and TITANIUM DIOXIDE,"Restrict L Int Jugular Vein w Intralum Dev, Open",604,882276708-X,1,FLAWLESS FINISH PERFECTLY NUDE MAKEUP BROAD SPECTRUM SUNSCREEN SPF 15 SHADE COCOA,"Elizabeth Arden, Inc"
PETROLATUM,"Drainage of Pudendal Nerve with Drain Dev, Open Approach",815,697174229-X,9,Personal Care Creamy Petroleum Jelly,"PERSONAL CARE PRODUCTS, LLC"
HYDROCORTISONE ACETATE,"Insert Infusion Dev in L Finger Phalanx Jt, Perc Endo",70,257619461-3,5,Hydrocortisone Acetate,"Paddock Laboratories, LLC"
brimonidine tartrate,"Fusion 2-6 C Jt w Intbd Fus Dev, Post Appr P Col, Open",650,677287231-2,9,BRIMONIDINE TARTRATE,"Pacific Pharma, Inc."
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, OXYBENZONE",CT Scan of Parathyroid Gland using L Osm Contrast,784,215604674-3,8,CLARINS BROAD SPECTRUM SPF 50 Plus - SUNSCREEN FOR FACE WRINKLE CONTROL,Laboratoires Clarins S.A.
"Ambrosia artemisiaefolia, Anacardium orientale, Baryta muriatica, Calcarea carbonica, Calcarea phosphorica, Fucus Vesiculosus, Helleborus niger, Hypothalamus, Ignatia amara, Lycopodium clavatum, Magnesia phosphorica, Manganum metallicum, Nicotinamidum, Phosphorus, Secale Cornutum, Silicea, Solidago virgaurea, Thymus serpyllum, Thyroidinum","Excision of Stomach, Pylorus, Endo",461,527063959-9,5,Ultra,Soza Clinic
Sodium Fluoride,HDR Brachytherapy of Neck Lymph using Cesium 137,533,394675072-9,9,Amar,Amar Remedies Limited - Mumbai
CITALOPRAM HYDROBROMIDE,"Bypass Upper Esophagus to Stomach with Synth Sub, Endo",969,362225678-8,5,Citalopram Hydrobromide,State of Florida DOH Central Pharmacy
Lansoprazole,"Reposition Left Humeral Head, Open Approach",774,004849339-2,5,Preferred Plus Lansoprazole,Kinray
Titanium Dioxide and Zinc Oxide,"Dilate L Ext Iliac Vein w Intralum Dev, Perc Endo",876,641097169-9,7,MDSolarSciences SPF40 Mineral Screen,"Ecometics, Inc"
Nifedipine,"Insertion of Ext Fix into L Humeral Shaft, Open Approach",596,061662996-6,4,Nifedipine,McKesson Packaging Services Business Unit of McKesson Corporation
"OCTINOXATE, TITANIUM DIOXIDE","Revision of Int Fix in L Humeral Head, Perc Approach",937,602383087-0,5,CD DiorSkin Forever Flawless Perfection Fusion Wear Makeup SPF 25 - 050,Parfums Christian Dior
AMITRIPTYLINE HYDROCHLORIDE,"Ultrasonography of Right and Left Heart, Transesophageal",437,030895939-6,3,AMITRIPTYLINE HYDROCHLORIDE,Direct Rx
Lansoprazole,"Supplement L Carpal Jt with Nonaut Sub, Perc Endo Approach",808,566588447-2,5,Good Sense lansoprazole,L. Perrigo Company
"OCTINOXATE, OCTISALATE, OXYBENZONE, and TITANIUM DIOXIDE","Revision of Int Fix in R Toe Phalanx Jt, Extern Approach",35,823991647-3,1,CLEAR DIFFERENCE BB COMPLEXION PERFECTING BB BROAD SPECTRUM SPF 35,ESTEE LAUDER INC
amitriptyline hydrochloride,"Reposition Sigmoid Colon, Percutaneous Endoscopic Approach",628,828302407-8,7,Amitriptyline Hydrochloride,Cardinal Health
SALICYLIC ACID,Beam Radiation of Chest using Neutron Capture,801,506872942-6,8,CVS Pore Unclogging Scrub,CVS Pharmacy
"Cactus Grandiflorus, Carbo Vegetabilis","Supplement Dura Mater with Nonaut Sub, Perc Approach",137,619791727-0,7,Dilon 40 (Number 1),Paramesh Banerji Life Sciences LLC
Ibuprofen,"Occlusion of Ileum, Percutaneous Approach",440,850498246-7,2,Ibuprofen,State of Florida DOH Central Pharmacy
"Boricum Gluconicum, Calcarea Gluconica, Chromium Gluconicum, Cobaltum Gluconicum, Cuprum Gluconicum","Dilate Celiac Art, Bifurc, w 2 Drug-elut, Perc Endo",803,560218357-4,2,Bio Electrolyte,"BioActive Nutritional, Inc."
Pramipexole Dihydrochloride,"Insert of Infusion Dev into Small Intest, Perc Endo Approach",778,888190726-7,10,Pramipexole Dihydrochloride,"Watson Pharma, Inc."
SALICYLIC ACID,"Revision of Nonaut Sub in L Carpal Jt, Perc Approach",954,380770433-7,1,ELF Zit Zapper,J. A. Cosmetics U.S. INC
Cetirizine Hydrochloride,"Inspection of Upper Jaw, Percutaneous Endoscopic Approach",422,041422082-X,5,Cetirizine Hydrochloride,REMEDYREPACK INC.
gatifloxacin,"Removal of Synth Sub from Fem Perineum, Extern Approach",821,431082180-4,9,ZYMAXID,"Allergan, Inc."
Sodium Chloride,"Bypass L Ext Jugular Vein to Up Vein w Autol Vn, Open",273,539399005-7,1,Sodium Chloride,B. Braun Medical Inc.
darbepoetin alfa,Magnetic Resonance Imaging (MRI) of R Low Extrem Vein,22,091169731-4,2,ARANESP,Amgen Inc
amlodipine besylate and atorvastatin calcium,"Remove of Nonaut Sub from Fallopian Tube, Perc Endo Approach",833,336473483-6,5,Amlodipine besylate/atorvastatin calcium,Mylan Pharmaceuticals Inc.
Menthol,"Tendons, Supplement",107,622841890-4,4,Miracle Foot Repair,Winning Solutions
Glyburide,"Revision of Intraluminal Device in Ureter, External Approach",681,866325008-8,8,Glyburide,Mylan Institutional Inc.
zidovudine,"Replace of Pericardium with Zooplastic, Perc Endo Approach",233,483767702-9,6,Zidovudine,State of Florida DOH Central Pharmacy
Nonoxynol-9,"Dilation of Ascending Colon, Percutaneous Approach",71,511396329-1,9,Today Vaginal Contraceptive,"Mayer Laboratories, Inc."
Mometasone Furoate,"Fusion of Sacrococcygeal Joint with Int Fix, Perc Approach",802,849140530-5,5,Mometasone Furoate,"Physicians Total Care, Inc."
Carvedilol,"Excision of Left Retina, Percutaneous Approach, Diagnostic",624,093641337-9,10,Carvedilol,Clinical Solutions Wholesale
Maraviroc,"Bypass Abd Aorta to B Int Ilia w Nonaut Sub, Open",139,003208943-0,8,SELZENTRY,"Physicians Total Care, Inc."
Urea,"Restriction of Lower Artery with Extralum Dev, Perc Approach",366,825326354-6,4,Urea,"Ascend Laboratories, LLC"
Aluminum Chlorohydrate,"Dilate R Com Iliac Art, Bifurc, w Intralum Dev, Open",900,036640838-0,7,Degree,Conopco Inc. d/b/a Unilever
"Passiflora Incarnata, Valeriana Officinalis, Aurum Metallicum, Baryta Carbonica, Glonoinum, Phosphorus",Beam Radiation of Pelvis Lymphatics using Photons 1 - 10 MeV,827,469371136-5,10,Viscumforce,"BioActive Nutritional, Inc."
Bisacodyl,"Revision of Spacer in L Acromioclav Jt, Open Approach",918,096275553-2,9,Bisac-Evac,Cardinal Health
LISINOPRIL AND HYDROCHLOROTHIAZIDE,"Insertion of Infusion Device into Celiac Art, Open Approach",373,543442704-1,6,LISINOPRIL AND HYDROCHLOROTHIAZIDE,St Marys Medical Park Pharmacy
CHLOROXYLENOL,"Substance Abuse Treatment, Group Counseling",648,815562140-5,2,GREAT II LOTIONIZED ANTISEPTIC,MEYER LABORATORY
Orange Citrus sinensis,"Fusion of 2-6 C Jt, Post Appr A Col, Open Approach",986,761825513-X,5,"Food - Plant Source, Orange Citrus sinensis",Jubilant HollisterStier LLC
Verapamil Hydrochloride,"Release Right Zygomatic Bone, Open Approach",927,895928425-4,5,Verapamil Hydrochloride,Heritage Pharmaceuticals Inc.
MAGNESIUM HYDROXIDE,"Supplement Right Carpal with Autol Sub, Perc Endo Approach",910,925564138-7,7,Milk of Magnesia Mint,Walgreens
calcium carbonate,"Fluoroscopy of Epidural Veins, Guidance",309,332074640-5,7,Medi First Plus Antacid,Unifirst First Aid Corporation
"OCTINOXATE, OCTISALATE, ZINC OXIDE, TITANIUM DIOXIDE","Removal of Synth Sub from R Ulna, Perc Endo Approach",586,618491757-9,9,ARTISTRY IDEAL RADIANCE UV Protect SPF 50 PLUS Broad Spectrum Sunscreen,Amway Corp
oxybutynin chloride,"Supplement R Mid Finger with Nonaut Sub, Perc Endo Approach",22,185311021-3,6,Ditropan,"Physicians Total Care, Inc."
COAGULATION FACTOR IX HUMAN,"Division of L Up Arm Subcu/Fascia, Open Approach",628,749112445-3,8,Bebulin,Baxter Healthcare Corporation
Body Fluid Balance,"Bypass R Com Iliac Art to L Renal A, Perc Endo Approach",974,277617619-8,7,Vital-FL,"Vitaltiy Works, Inc."
ISOPROPYL ALCOHOL,"Removal of Oth Dev from L Low Extrem, Perc Endo Approach",243,288409511-X,8,ALCOHOL WIPE,Cintas Corporation
HYDROMORPHONE HYDROCHLORIDE,"Removal of Neurostimulator Lead from Brain, Extern Approach",818,078659595-7,5,Hydromorphone Hydrochloride,"Teva Parenteral Medicines, Inc."
Acetaminophen,"Bypass Ileum to Sigmoid Colon, Open Approach",238,180621854-2,3,PediaCare Infant Fever Pain Reliever,Medtech Products Inc.
Octinoxate,"Dilation of R Int Mamm Art with 3 Drug-elut, Open Approach",371,139307111-2,4,ESIKA HD COLOR HIGH DEFINITION COLOR SPF 20,Ventura Corporation LTD
Methocarbamol,"Release Cisterna Chyli, Open Approach",596,655261010-6,6,Methocarbamol,Proficient Rx LP
Treatment Set TS344419,"Replacement of Hepatic Vein with Synth Sub, Open Approach",1,967307926-9,7,Treatment Set TS344419,"Antigen Laboratories, Inc."
OCTINOXATE and TITANIUM DIOXIDE,"Destruction of Right Hip Muscle, Percutaneous Approach",577,649850576-1,9,VITALUMIERE AQUA,CHANEL PARFUMS BEAUTE
Darkleaves Mugwort,CT Scan of R Pulm Vein using Oth Contrast,81,153735587-2,1,Darkleaves Mugwort,"Nelco Laboratories, Inc."
triamcinolone acetonide,"Drain of Subdural Space with Drain Dev, Perc Endo Approach",280,871342146-8,10,triamcinolone acetonide,A-S Medication Solutions LLC
Chrysosplenium Chamomilla,"Removal of Autologous Tissue Substitute from Left Eye, Endo",753,507302458-3,2,Chrysosplenium Chamomilla,Uriel Pharmacy Inc.
Carvedilol,"Division of Left Toe Phalanx, Percutaneous Approach",346,555408939-9,8,Carvedilol,REMEDYREPACK INC.
Tizanidine Hydrochloride,Fluoroscopy of Left Pulmonary Vein,715,810397021-2,7,Tizanidine Hydrochloride,Lake Erie Medical DBA Quality Care Products LLC
"Capsicum annuum, pyrethrum parthenium, mentholum","Drainage of Right Retina, Percutaneous Approach",737,550593997-X,3,Headache Buster,SiCap Industries LLC
FAMOTIDINE,"Insertion of Artificial Sphincter into Bladder Neck, Endo",898,744925381-X,10,Heartburn Relief,Select Corporation
ALUMINUM CHLOROHYDRATE,CT Scan of L Up Extrem using L Osm Contrast,679,085546729-0,9,YOUTH DEW ROLL-ON ANTIPERSPIRANT DEODORANT,ESTEE LAUDER INC
Capsaicin,"Drainage of Right Knee Joint, Open Approach, Diagnostic",414,900115696-7,1,Fast Arthritis Aid,"Concept Laboratories, Inc."
lisinopril,"Dilation of Right Foot Artery, Bifurc, Perc Endo Approach",904,361193489-5,3,lisinopril,"Physicians Total Care, Inc."
Hydrochlorothiazide,"Fusion of Left Metatarsal-Phalangeal Joint, Perc Approach",999,591152614-X,6,Hydrochlorothiazide,"Lannett Company, Inc."
Aluminum Chlorohydrate,"Reposition Left Upper Arm Muscle, Perc Endo Approach",1,263600396-7,2,Ban,Kao Brands Company
CALCIUM CARBONATE,"Insertion of Oth Dev into L Up Extrem, Perc Endo Approach",739,486183886-X,7,CALCAREA CARBONICA,Remedy Makers
Alcohol swab,"Fragmentation in Left Upper Lobe Bronchus, External Approach",530,074551561-4,7,Alcohol swab,Pharmaplast SAE
